place_guess,latitude,longitude,positional_accuracy,place_town_name,place_county_name,place_state_name,species_guess,scientific_name
"Old Town, Winchester, VA 22601, USA",39.1822722222,-78.1671222222,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Abrams Creek Wetland Preserve, Winchester, VA, US",39.176041624,-78.1911529803,13,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Hayfield, VA 22603, USA",39.2011138889,-78.2147333333,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Flanagan Dr, Winchester, VA, US",39.1603715354,-78.1439717002,65,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1684833333,-78.1886527778,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Shenandoah University, Winchester, VA, US",39.1654355595,-78.1527132682,24,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Shenandoah University, Winchester, VA, US",39.1647528333,-78.1562111667,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Senseny Rd, Winchester, VA, US",39.1686854046,-78.135294607,5,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Courtfield Ave, Winchester, VA, US",39.1791149706,-78.1772989005,12,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Fortress Dr, Winchester, VA, US",39.2043083333,-78.165375,10,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Frederick County, VA, USA",39.1143473979,-78.1699997051,1255,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"W Boscawen St, Winchester, VA, US",39.1850384807,-78.1693858567,41,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Frederick, Virginia, United States",39.0454694444,-78.1636194444,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Martinsburg Pike, Winchester, VA, US",39.216106399,-78.1441072562,5,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"E Monmouth St, Winchester, VA, US",39.1788333333,-78.1664195,36,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.17990811,-78.14863092,8,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.17992351,-78.14863228,3,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Brookland Terr, Winchester, VA, US",39.18227,-78.1317361667,50,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Wayne Dr, Winchester, VA, US",39.168675,-78.1887583333,13,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodland Ave, Winchester, VA, US",39.1840283333,-78.1457971667,14,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1843333333,-78.1457666667,6,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, Virginia, United States",39.1843611117,-78.1457277783,5,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Old Jube Square, Winchester, VA, US",39.1680944385,-78.1794447732,5,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Frederick County, VA, USA",39.2007462245,-78.129519933,15,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Hayfield, VA 22603, USA",39.2039711936,-78.1737475097,26,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"W Piccadilly St, Winchester, VA, US",39.1871043134,-78.1675907266,24,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Fortress Dr, Winchester, VA, US",39.2072666667,-78.1639555,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1917200269,-78.1795850024,37,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Old Town, Winchester, VA 22601, USA",39.18216614,-78.16726165,9,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"135 N Braddock St, Winchester, VA, US",39.18657796,-78.1663951558,25,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Harvest Dr, Winchester, VA, US",39.1644971667,-78.18982,24,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Campus Blvd, Winchester, VA, US",39.1985173223,-78.1882813154,92,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Battery Dr, Winchester, VA, US",39.1641666667,-78.1741416667,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"S Cameron St, Winchester, VA, US",39.1786633333,-78.16635,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Colin Ct, Winchester, VA, US",39.1879533333,-78.19995,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.2038459778,-78.1718444824,65,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"E Cork St, Winchester, VA, US",39.1820366667,-78.1662305,6,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Lake Holiday, Cross Junction, VA, US",39.3085966667,-78.327295,3,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",38.0426732231,-78.4059009275,9,,Albemarle,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.1967124939,-78.142036438,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Julie Ct, Winchester, VA, US",39.1414846215,-78.242977293,37,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"S Cameron St, Winchester, VA, US",39.178445,-78.1661445,5,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.1862716675,-78.1643753052,20,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Darby Dr, Winchester, VA, US",39.1598837229,-78.1405517591,16,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"E Piccadilly St, Winchester, VA, US",39.1857216667,-78.1629333333,35,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Amherst St, Winchester, VA, US",39.1866833333,-78.17318,45,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Hayfield, VA 22603, USA",39.2087333333,-78.1808666667,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1644555556,-78.1673361111,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",38.6152574501,-77.4111818143,190,,Manassas,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",38.7161536911,-77.432288181,190,,Manassas,Virginia,Spotted Lanternfly,Lycorma delicatula
"E Piccadilly St, Winchester, VA, US",39.18598,-78.1623778333,5,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.1595954895,-78.1585845947,65,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Stephens City, VA, USA",39.082002,-78.2169399722,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.18580108,-78.18000617,8,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Old Town, Winchester, VA 22601, USA",39.18589343,-78.16232011,4,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Frederick County, VA, USA",39.2207505,-78.1938344,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Frederick County, VA, USA",39.2154115,-78.1917899,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Amherst St, Winchester, VA, US",39.1872783333,-78.179275,10,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22602, USA",39.18428866,-78.13543129,9,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Gadwell Ln, Stephens City, VA, US",39.0539555,-78.1667466667,11,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Amherst St, Winchester, VA, US",39.186928884,-78.1738325935,9,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Gateway Dr, Winchester, VA, US",39.1873283333,-78.1305833333,6,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA, US",39.1857116667,-78.1772466667,3,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"N Cameron St, Winchester, VA, US",39.1872,-78.163375,23,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Northfields, VA 22901, USA",38.08717144,-78.44238326,9,,Albemarle,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.1863746643,-78.1314620972,7,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.1851196289,-78.1655578613,65,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"N Loudoun St, Winchester, VA, US",39.1852072805,-78.1652578419,24,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Old Town, Winchester, VA 22601, USA",39.1820853905,-78.1668565795,37,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Hayfield, VA 22603, USA",39.2013099722,-78.124887,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1855049722,-78.1802009722,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
Amherst Diner,39.1867257729,-78.1720607355,188,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Old Town, Winchester, VA 22601, USA",39.1864916667,-78.166275,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"N Braddock St, Winchester, VA, US",39.1846253448,-78.1670856799,47,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"S Indian Alley, Winchester, VA, US",39.1836689082,-78.1665762073,14,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
Strasburg,39.0518455505,-78.3712615967,65,,Shenandoah,Virginia,Spotted Lanternfly,Lycorma delicatula
"S Loudoun St, Winchester, VA, US",39.1829072126,-78.1662000118,22,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"W Piccadilly St, Winchester, VA, US",39.1868647875,-78.1670192176,11,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"W Jubal Early Dr, Winchester, VA, US",39.1707372987,-78.1819315875,160,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1680027778,-78.1747194444,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22602, USA",39.1619282933,-78.0973511562,302,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blandy Farm Ln, Boyce, VA, US",39.0673977067,-78.0619163486,1366,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1665734997,-78.1690992997,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"N Frederick Pike, Winchester, VA, US",39.2096182371,-78.1792600561,9,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.1865196228,-78.1803359985,74,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.187286377,-78.132484436,65,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Berryville Pike, Winchester, VA, US",39.1870786826,-78.1250002787,20,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.1868171692,-78.1320343018,9,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Front Royal Pike, Winchester, VA, US",39.1553028333,-78.1600195,25,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"White Post, VA 22663, USA",39.0420333333,-78.1611277778,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Adams Dr, Winchester, VA, US",39.1586743758,-78.1711537661,10,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Amherst - Walgreens, Winchester, VA 22601, USA",39.1863949583,-78.1725271046,3220,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1625859722,-78.166009,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bald Eagle Dr, Lake Frederick, VA, US",39.0423445,-78.1609805,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Market St, Winchester, VA, US",39.2214798267,-78.1363531645,58,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.2007484436,-78.1859207153,36,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.2007446289,-78.1859741211,12,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",39.150241637,-78.0994177284,9,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Apple Valley Marketplace, Winchester, VA, US",39.1878194455,-78.1463085954,16,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.1868553162,-78.1320419312,13,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1864096228,-78.1813484358,39,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1905082182,-78.1633942883,4,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"N Frederick Pike, Winchester, VA, US",39.2090029183,-78.1772553015,49,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"W Parkins Mill Rd, Winchester, VA, US",39.10855,-78.1537,65,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1847473588,-78.14017497,16,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"N Frederick Pike, Winchester, VA, US",39.2694268457,-78.2510077153,25,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Jim Barnett Park, Winchester, VA, US",39.16833,-78.1603,1414,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1955418889,-78.1940595833,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",39.315674001,-78.2386000467,2,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester County, US-VA, US",39.1678166667,-78.1573195,52,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Shenandoah University, Winchester, VA, US",39.1678166667,-78.1573195,52,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Crock Wells Mill Dr, Winchester, VA, US",39.1917883333,-78.2071,7,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Lakeridge Dr, Stephens City, VA, US",39.1108388333,-78.19058,65,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Wingate Dr, Winchester, VA, US",39.1657305,-78.1680216667,8,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"26th St N, Arlington, VA, US",38.9037883333,-77.0972528333,34,,Arlington,Virginia,Spotted Lanternfly,Lycorma delicatula
"Merchant St, Winchester, VA, US",39.2206883333,-78.1331555,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester County, US-VA, US",39.1844133333,-78.1650555,35,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"N Frederick Pike, Winchester, VA, US",39.2163269095,-78.192453723,87,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA, US",39.1687684693,-78.0876809195,26,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Frederick County, US-VA, US",39.1709136963,-78.0924835205,47,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Haymarket, VA 20169, USA",38.8105527778,-77.6399638889,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"S Indian Alley, Winchester, VA, US",39.1823416667,-78.1670833333,65,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Chester, VA 23836, USA",37.34725193,-77.34502902,10,,Chesterfield,Virginia,Spotted Lanternfly,Lycorma delicatula
"Hayfield, VA 22603, USA",39.2214212134,-78.1359491497,9,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Hayfield, VA 22603, USA",39.2222787,-78.1320378,11,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Janeville Rd, Berryville, VA, US",39.1358203075,-78.0516201778,7,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Wards Ferry Rd. Stop 1, Lynchburg, VA 24502, USA",37.3592031389,-79.1894215,,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Athletic Complex, Richmond, VA, USA",37.5788967168,-77.5413238723,1,,Richmond city,Virginia,Spotted Lanternfly,Lycorma delicatula
"S Stewart St, Winchester, VA, US",39.178545,-78.1722033333,65,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, Virginia, United States",39.1855444444,-78.1651166667,8,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",38.7808917668,-77.5707843068,602,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clarke County, VA, USA",39.0546083333,-78.0638111111,4,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"400 Blandy Farm Ln, Boyce, VA 22620, USA",39.0642582,-78.0641588,188,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22602, USA",39.1619782058,-78.2703952119,20189,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clarke County, VA, USA",39.0546222222,-78.0637444444,13,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clarke, Virginia, United States",39.0539599833,-78.0632933333,,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Prince Frederick Dr, Winchester, VA, US",39.1518168664,-78.148990972,7,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Boyce, VA, US",39.0779798432,-78.0490146485,5,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"SR-1434, White Post, VA, US",39.0391805,-78.1528388333,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Northington Ct, Gainesville, VA, US",38.7925916667,-77.6535866667,4,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Tuleyries Ln, Boyce, VA, US",39.0623535503,-78.0741125732,104,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Jim Barnett Park, Winchester, VA, US",39.1696025604,-78.1581590472,34,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Frederick County, VA, USA",39.1522858685,-78.2179745389,15,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1853980501,-78.1530761719,7813,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clarke County, VA, USA",39.0633450148,-78.0600221874,31,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester County, US-VA, US",39.176399231,-78.1921844482,4,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester County, US-VA, US",39.1766204834,-78.192817688,4,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA, US",39.2064133333,-78.1635445,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Dunbar Ln, Winchester, VA, US",39.2235833333,-78.1996216667,3,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blandy Farm Ln, Boyce, VA, US",39.0599213052,-78.0618036671,9,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clarke County, US-VA, US",39.0598994308,-78.0618326169,5,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clearbrook Park, Clear Brook, VA, US",39.255905655,-78.0937823887,3038,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Magic Mountain Rd, Winchester, VA, US",39.2022162865,-78.2597486862,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clydesdale Dr, Stephens City, VA, US",39.100045247,-78.1596473348,8,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester County, US-VA, US",39.1758003235,-78.1887130737,4,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Indian Hollow Rd, Winchester, VA, US",39.2126783333,-78.1978833333,16,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Frederick County, VA, USA",39.0384166667,-78.1581194444,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"White Post, VA 22663, USA",39.0940993254,-78.1276061386,5,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bristow, VA, US",38.7264283333,-77.5273666667,7,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.1627998352,-78.1243133545,13,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",39.1860019293,-78.1194351602,1786,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clarke, Virginia, United States",39.0594583167,-78.0618083167,,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Shawnee Springs Preserve, Winchester, VA, US",39.1723884046,-78.1639300257,36,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Hayfield, VA 22603, USA",39.2063109722,-78.1640569722,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clarke County, VA, USA",39.0611907461,-78.0678034742,31,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"White Post, VA 22663, USA",39.0596951263,-78.1401280314,7,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"White Post, VA 22663, USA",39.0638429319,-78.0634671871,9,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Dinosaur Land, White Post, VA, US",39.0596583333,-78.1407166667,8,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Country Ln, Clear Brook, VA, US",39.2519833333,-78.0632388333,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Country Ln, Clear Brook, VA, US",39.2519833333,-78.0632388333,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",39.1161528756,-78.0671888854,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"White Post, VA 22663, USA",39.0446222222,-78.1525638889,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"St Clair Rd, Winchester, VA, US",39.27007085,-78.1969951,78,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blandy Farm Ln, Boyce, VA, US",39.0607555,-78.0652361667,,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clarke County, VA, USA",39.0546611111,-78.0637277778,25,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
Stephens City,39.0838279724,-78.1839447021,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Haymarket, VA 20169, USA",38.8114638889,-77.635175,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Marlboro Rd, Stephens City, VA, US",39.0965059532,-78.2730326478,834,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",39.0870401821,-78.0094826097,23,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"White Post, VA 22663, USA",39.0430527778,-78.1537222222,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Iona Sound Dr, Bristow, VA, US",38.7381731247,-77.5675643143,23,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"North St NE, Leesburg, VA, US",39.117275,-77.5617616667,3,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"McCausland St, Lynchburg, VA, US",37.3955583333,-79.1854333333,35,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Shenandoah, VA 22849, USA",38.4833569722,-78.6106759722,,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Rachel Carson Dr, Lake Frederick, VA, US",39.0495695,-78.1652528333,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Cabell St, Lynchburg, VA, US",37.4206616667,-79.1446695,4,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bristow, VA 20136, USA",38.7283861189,-77.526259236,100,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"McDonalds (Inside Walmart), Winchester, VA 22601, USA",39.15649285,-78.17179316,3,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Lynchburg, VA 24502, USA",37.3576898,-79.1659379997,,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
